role_curie,role_label,chemical_count
CHEBI:77941,EC 3.5.1.4 (amidase) inhibitor,6
CHEBI:77965,food anticaking agent,6
CHEBI:77971,raising agent,6
CHEBI:85046,skin lightening agent,6
CHEBI:90710,receptor modulator,6
CHEBI:90749,antidote to cyanide poisoning,6
CHEBI:131492,Wnt signalling activator,5
CHEBI:131787,dopamine receptor D2 antagonist,5
CHEBI:133106,chemical hybridisation agent,5
CHEBI:136645,profungicide,5
CHEBI:143130,impurity,5
CHEBI:143252,ceramide allergen,5
CHEBI:146246,CB2 receptor agonist,5
CHEBI:229763,exportin 1 inhibitor,5
CHEBI:24851,insect growth regulator,5
CHEBI:24942,juvenile hormone mimic,5
CHEBI:26089,photosystem-II inhibitor,5
CHEBI:26220,precocenes,5
CHEBI:27314,water-soluble vitamin (role),5
CHEBI:33284,nutrient,5
CHEBI:38809,ryanodine receptor modulator,5
CHEBI:39316,mite growth regulator,5
CHEBI:47867,indicator,5
CHEBI:48278,serotonergic drug,5
CHEBI:48668,gamma-secretase modulator,5
CHEBI:50184,ion transport inhibitor,5
CHEBI:50433,platelet glycoprotein-IIb/IIIa receptor antagonist,5
CHEBI:50685,antitrichomonal drug,5
CHEBI:50864,insulin-sensitizing drug,5
CHEBI:51068,miotic,5
CHEBI:51372,neuromuscular agent,5
CHEBI:52214,ligand,5
CHEBI:59107,EC 3.4.24.* (metalloendopeptidase) inhibitor,5
CHEBI:60311,thyroid hormone,5
CHEBI:60816,immunogen,5
CHEBI:63060,phase-transfer catalyst,5
CHEBI:64033,EC 3.5.1.99 (fatty acid amide hydrolase) inhibitor,5
CHEBI:64922,EC 3.4.21.37 (leukocyte elastase) inhibitor,5
CHEBI:65255,food preservative,5
CHEBI:67105,insect sterilant,5
CHEBI:70982,reactive oxygen species generator,5
CHEBI:71942,"EC 3.1.4.35 (3',5'-cyclic-GMP phosphodiesterase) inhibitor",5
CHEBI:72294,nerve growth factor stimulator,5
CHEBI:72771,breast cancer resistance protein inhibitor,5
CHEBI:73263,cyclooxygenase 3 inhibitor,5
CHEBI:74136,lachrymator,5
CHEBI:74213,EC 1.17.4.1 (ribonucleoside-diphosphate reductase) inhibitor,5
CHEBI:74236,polymerisation monomer,5
CHEBI:75282,ergosterol biosynthesis inhibitor,5
CHEBI:75298,histamine releasing agent,5
CHEBI:77113,EC 2.7.11.10 (IkappaB kinase) inhibitor,5
CHEBI:77608,loop diuretic,5
CHEBI:78152,enzyme mimic,5
CHEBI:78366,EC 2.7.1.1 (hexokinase) inhibitor,5
CHEBI:78760,EC 2.7.1.91 (sphingosine kinase) inhibitor,5
CHEBI:79085,potassium channel opener,5
CHEBI:79088,EC 3.4.24.35 (gelatinase B) inhibitor,5
CHEBI:83157,EC 6.2.1.3 (long-chain-fatty-acid--CoA ligase) inhibitor,5
CHEBI:83319,EC 1.3.1.70 (Delta(14)-sterol reductase) inhibitor,5
CHEBI:83741,phospholipid biosynthesis inhibitor,5
CHEBI:84036,EC 3.4.24.24 (gelatinase A) inhibitor,5
CHEBI:85094,EC 2.7.11.11 (cAMP-dependent protein kinase) inhibitor,5
CHEBI:88227,potassium ionophore,5
CHEBI:91202,TGFbeta receptor antagonist,5
CHEBI:130181,calmodulin antagonist,4
CHEBI:131611,teichoic acid biosynthesis inhibitor,4
CHEBI:131809,SMO receptor agonist,4
CHEBI:133022,B-cell lymphoma 2 inhibitor,4
CHEBI:134182,platelet-activating factor receptor antagonist,4
CHEBI:136647,proacaricide,4
CHEBI:137431,antihypotensive agent,4
CHEBI:139246,peptide probe,4
CHEBI:139556,EC 4.1.1.17 (ornithine decarboxylase) inhibitor,4
CHEBI:140190,calcium-dependent antibiotics,4
CHEBI:140489,tropomyosin-related kinase B receptor agonist,4
CHEBI:140535,TRPV1 agonist,4
CHEBI:140922,glioma-associated oncogene inhibitor,4
CHEBI:142782,TRPV channel modulator,4
CHEBI:142783,TRP channel modulator,4
CHEBI:145410,EC 1.1.1.42 (isocitrate dehydrogenase) inhibitor,4
CHEBI:167704,necroptosis inhibitor,4
CHEBI:176342,EC 1.11.1.9 (glutathione peroxidase) inhibitor,4
CHEBI:177023,somatostatin receptor agonist,4
CHEBI:195525,EC 2.7.12.1 (dual-specificity kinase) inhibitor,4
CHEBI:22986,calcium ionophore,4
CHEBI:231761,convulsant,4
CHEBI:233442,chemosensitiser,4
CHEBI:23366,compatible osmolytes,4
CHEBI:23582,defoliant,4
CHEBI:24020,fat-soluble vitamin (role),4
CHEBI:26157,plant growth stimulator,4
CHEBI:35846,renal agent,4
CHEBI:35942,neurotransmitter agent,4
CHEBI:38500,EC 1.9.3.1 (cytochrome c oxidase) inhibitor,4
CHEBI:38956,ectoparasiticide,4
CHEBI:39208,antibiotic insecticide,4
CHEBI:39351,pyrethroid ether insecticide,4
CHEBI:48353,serine proteinase inhibitor,4
CHEBI:48705,agonist,4
CHEBI:48706,antagonist,4
CHEBI:50568,"EC 3.1.4.17 (3',5'-cyclic-nucleotide phosphodiesterase) inhibitor",4
CHEBI:50635,EC 3.5.1.5 (urease) inhibitor,4
CHEBI:50779,appetite enhancer,4
CHEBI:52629,EC 3.1.26.13 (retroviral ribonuclease H) inhibitor,4
CHEBI:53121,adenosine A2A receptor antagonist,4
CHEBI:59283,delta-opioid receptor antagonist,4
CHEBI:59321,EC 4.1.1.28 (aromatic-L-amino-acid decarboxylase) inhibitor,4
CHEBI:59647,EC 2.3.1.50 (serine C-palmitoyltransferase) inhibitor,4
CHEBI:59680,vasopressin receptor antagonist,4
CHEBI:59727,vasopressin receptor agonist,4
CHEBI:59740,nucleophilic reagent,4
CHEBI:60280,EC 3.5.1.2 (glutaminase) inhibitor,4
CHEBI:63064,crystallisation adjutant,4
CHEBI:63090,EC 2.4.2.1 (purine-nucleoside phosphorylase) inhibitor,4
CHEBI:63114,sphingosine-1-phosphate receptor agonist,4
CHEBI:63720,EC 2.1.1.45 (thymidylate synthase) inhibitor,4
CHEBI:63932,EC 1.14.16.2 (tyrosine 3-monooxygenase) inhibitor,4
CHEBI:63957,adenosine A1 receptor antagonist,4
CHEBI:64154,H3-receptor agonist,4
CHEBI:64155,H4-receptor agonist,4
CHEBI:64176,H3-receptor antagonist,4
CHEBI:64995,EC 1.13.11.31 (arachidonate 12-lipoxygenase) inhibitor,4
CHEBI:66902,CFTR potentiator,4
CHEBI:66908,SMO receptor antagonist,4
CHEBI:67126,colorimetric reagent,4
CHEBI:68543,pyrimidine synthesis inhibitor,4
CHEBI:68557,bradykinin receptor antagonist,4
CHEBI:68640,EC 1.14.99.9 (steroid 17alpha-monooxygenase) inhibitor,4
CHEBI:70709,progesterone receptor agonist,4
CHEBI:70822,EC 3.4.22.2 (papain) inhibitor,4
CHEBI:71181,Sir2 inhibitor,4
CHEBI:71212,prohormone,4
CHEBI:72716,EC 2.3.2.13 (protein-glutamine gamma-glutamyltransferase) inhibitor,4
CHEBI:73196,EC 4.4.1.11 (methionine gamma-lyase) inhibitor,4
CHEBI:73267,oxidative phosphorylation inhibitor,4
CHEBI:73416,CB1 receptor antagonist,4
CHEBI:74529,antidote to paracetamol poisoning,4
CHEBI:74530,antidote to curare poisoning,4
CHEBI:76878,EC 2.3.1.* (acyltransferase transferring other than amino-acyl group) inhibitor,4
CHEBI:77484,EC 1.1.1.25 (shikimate dehydrogenase) inhibitor,4
CHEBI:77496,bradykinin receptor B2 agonist,4
CHEBI:77703,EC 4.3.1.3 (histidine ammonia-lyase) inhibitor,4
CHEBI:77969,food humectant,4
CHEBI:77970,food thickening agent,4
CHEBI:78505,venom,4
CHEBI:78728,EC 1.3.1.72 (Delta(24)-sterol reductase) inhibitor,4
CHEBI:78763,EC 2.7.11.18 (myosin-light-chain kinase) inhibitor,4
CHEBI:82824,calpain inhibitor,4
CHEBI:82933,gut flora metabolite,4
CHEBI:83146,Daphnia tenebrosa metabolite,4
CHEBI:85384,GABA reuptake inhibitor,4
CHEBI:85540,thromboxane A2 antagonist,4
CHEBI:88285,EC 2.7.12.* [dual-specificity kinases (those acting on Ser/Thr and Tyr residues)] inhibitor,4
CHEBI:88286,EC 2.7.12.2 (mitogen-activated protein kinase kinase) inhibitor,4
CHEBI:88295,G-protein-coupled receptor antagonist,4
CHEBI:90374,histone acetyltransferase activator,4
CHEBI:90713,retinoic acid receptor alpha antagonist,4
CHEBI:90755,antidote to opioid poisoning,4
CHEBI:102248,EC 1.14.11.29 (hypoxia-inducible factor-proline dioxygenase) inhibitor,3
CHEBI:131509,EC 1.14.99.66 (lysine-specific histone demethylase 1A) inhibitor,3
CHEBI:131770,EC 3.6.3.49 (channel-conductance-controlling ATPase) inhibitor,3
CHEBI:132365,EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor,3
CHEBI:132772,EC 3.6.5.5 (dynamin GTPase) inhibitor,3
CHEBI:136860,antidote to sarin poisoning,3
CHEBI:137514,TRPA1 channel agonist,3
CHEBI:137626,EC 1.1.1.146 (11beta-hydroxysteroid dehydrogenase) inhibitor,3
CHEBI:138931,glutamine antagonist,3
CHEBI:141301,pronematicide,3
CHEBI:142581,EC 4.1.1.15 (glutamate decarboxylase) inhibitor,3
CHEBI:142790,EC 3.3.2.10 (soluble epoxide hydrolase) inhibitor,3
CHEBI:144998,sphingosine-1-phosphate receptor 1 antagonist,3
CHEBI:145437,uncoupling protein inhibitor,3
CHEBI:145438,C-X-C chemokine receptor type 4 antagonist,3
CHEBI:145982,5-hydroxytryptamine 2A receptor agonist,3
CHEBI:167183,piscicide,3
CHEBI:167694,EC 2.1.1.43 (enhancer of zeste homolog 2) inhibitor,3
CHEBI:172949,antimicrobial cosmetic preservative,3
CHEBI:196956,calcitonin gene-related peptide receptor antagonist,3
CHEBI:229655,complement factor B inhibitor,3
CHEBI:23888,drug,3
CHEBI:36710,interferon inducer,3
CHEBI:37337,ultrasound contrast agent,3
CHEBI:38456,ecdysone agonist,3
CHEBI:48360,amphiprotic solvent,3
CHEBI:48676,fibrin modulating drug,3
CHEBI:49020,hormone antagonist,3
CHEBI:49205,CETP inhibitor,3
CHEBI:50423,EC 1.6.3.1. [NAD(P)H oxidase (H2O2-forming)] inhibitor,3
CHEBI:50510,potassium channel modulator,3
CHEBI:50741,retinoic acid receptor alpha/beta agonist,3
CHEBI:50844,aldosterone antagonist,3
CHEBI:51060,hormone agonist,3
CHEBI:51374,GABA agent,3
CHEBI:51452,endothelin A receptor antagonist,3
CHEBI:59672,EC 2.4.1.16 (chitin synthase) inhibitor,3
CHEBI:59739,electrophilic reagent,3
CHEBI:59844,antihyperplasia drug,3
CHEBI:60606,opioid receptor agonist,3
CHEBI:60798,excitatory amino acid antagonist,3
CHEBI:60901,EC 2.5.1.9 (riboflavin synthase) inhibitor,3
CHEBI:62754,glycine receptor antagonist,3
CHEBI:63721,EC 2.1.2.2 (phosphoribosylglycinamide formyltransferase) inhibitor,3
CHEBI:63794,retinoid X receptor agonist,3
CHEBI:64370,glutamate transporter activator,3
CHEBI:64477,monolignol,3
CHEBI:64670,EC 1.8.1.9 (thioredoxin reductase) inhibitor,3
CHEBI:64763,EC 3.1.4.11 (phosphoinositide phospholipase C) inhibitor,3
CHEBI:64919,EC 2.3.1.20 (diacylglycerol O-acyltransferase) inhibitor,3
CHEBI:65057,adenosine A1 receptor agonist,3
CHEBI:66956,antidyskinesia agent,3
CHEBI:67072,cannabinoid receptor agonist,3
CHEBI:67200,provitamin A,3
CHEBI:67231,EC 3.2.1.48 (sucrose alpha-glucosidase) inhibitor,3
CHEBI:67232,"EC 3.2.1.10 (oligo-1,6-glucosidase) inhibitor",3
CHEBI:70727,topoisomerase inhibitor,3
CHEBI:71014,AMPA receptor antagonist,3
CHEBI:71232,adenosine receptor antagonist,3
CHEBI:71338,autoinducer,3
CHEBI:747329,lubricant,3
CHEBI:74886,neoglycolipid probe,3
CHEBI:75174,EC 2.5.1.21 (squalene synthase) inhibitor,3
CHEBI:75358,curing agent,3
CHEBI:75380,EC 1.11.1.6 (catalase) inhibitor,3
CHEBI:76787,EC 3.4.11.* (aminopeptidase) inhibitor,3
CHEBI:76795,EC 3.4.22.36 (caspase-1) inhibitor,3
CHEBI:76812,EC 2.7.11.* (protein-serine/threonine kinase) inhibitor,3
CHEBI:76877,EC 2.3.2.* (aminoacyltransferase) inhibitor,3
CHEBI:76940,EC 3.4.21.4 (trypsin) inhibitor,3
CHEBI:76977,corticotropin-releasing factor receptor antagonist,3
CHEBI:77090,EC 4.3.1.10 (serine-sulfate ammonia-lyase) inhibitor,3
CHEBI:77111,EC 2.1.1.116 [3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase] inhibitor,3
CHEBI:77318,pregnane X receptor agonist,3
CHEBI:77567,eugeroic,3
CHEBI:77705,EC 3.4.19.* (omega-peptidase) inhibitor,3
CHEBI:77706,EC 3.4.19.3 (pyroglutamyl-peptidase I) inhibitor,3
CHEBI:77881,EC 4.3.1.15 (diaminopropionate ammonia-lyase) inhibitor,3
CHEBI:77953,EC 6.1.1.4 (leucine--tRNA ligase) inhibitor,3
CHEBI:77966,food stabiliser,3
CHEBI:78006,food colour retention agent,3
CHEBI:78016,food gelling agent,3
CHEBI:78024,EC 4.1.1.50 (adenosylmethionine decarboxylase) inhibitor,3
CHEBI:78248,vitamin B1 antagonist,3
CHEBI:78379,EC 2.5.1.7 (UDP-N-acetylglucosamine 1-carboxyvinyltransferase) inhibitor,3
CHEBI:78548,adenylate cyclase agonist,3
CHEBI:78623,bone morphogenetic protein receptor antagonist,3
CHEBI:78678,EC 4.6.1.2 (guanylate cyclase) inhibitor,3
CHEBI:78947,archaeal metabolite,3
CHEBI:79050,EC 3.4.22.52 (calpain-1) inhibitor,3
CHEBI:79093,EC 1.11.2.2 (myeloperoxidase) inhibitor,3
CHEBI:83313,protease-activated receptor-1 antagonist,3
CHEBI:83762,"EC 3.2.1.28 (alpha,alpha-trehalase) inhibitor",3
CHEBI:85180,nonnucleoside hepatitis C virus polymerase inhibitor,3
CHEBI:85185,hepatitis C virus nonstructural protein 5A inhibitor,3
CHEBI:86029,liver X receptor agonist,3
CHEBI:86430,EC 1.14.13.78 (ent-kaurene oxidase) inhibitor,3
CHEBI:90190,EC 2.1.1.37 [DNA (cytosine-5-)-methyltransferase] inhibitor,3
CHEBI:90285,EC 4.1.1.23 (orotidine-5'-phosphate decarboxylase) inhibitor,3
CHEBI:90753,antidote to organophosphate poisoning,3
CHEBI:101086,EC 5.4.99.7 (lanosterol synthase) inhibitor,2
CHEBI:131186,IP3 receptor antagonist,2
CHEBI:131794,EC 2.7.11.17 (Ca(2+)/calmodulin-dependent protein kinase) inhibitor,2
CHEBI:131795,dopamine receptor D1 agonist,2
CHEBI:132972,farnesoid X receptor agonist,2
CHEBI:133016,5-hydroxytryptamine 2A receptor inverse agonist,2
CHEBI:133878,neuropeptide Y receptor antagonist,2
CHEBI:134084,EC 1.15.1.1 (superoxide dismutase) inhibitor,2
CHEBI:137079,eukaryotic initiation factor 4F inhibitor,2
CHEBI:137123,EC 2.7.11.30 (receptor protein serine/threonine kinase) inhibitor,2
CHEBI:137566,EC 2.5.1.48 (cystathionine gamma-synthase) inhibitor,2
CHEBI:138416,angiotensin receptor agonist,2
CHEBI:138956,EC 6.3.5.4 [asparagine synthase (glutamine-hydrolysing)] inhibitor,2
CHEBI:139084,cis-Golgi ArfGEF GBF inhibitor,2
CHEBI:139155,melanin-concentrating hormone receptor antagonist,2
CHEBI:139339,EC 1.14.17.1 (dopamine beta-monooxygenase) inhibitor,2
CHEBI:139512,EC 1.3.1.9 [enoyl-[acyl-carrier-protein] reductase (NADH)] inhibitor,2
CHEBI:140061,TRPV4 agonist,2
CHEBI:140482,neurokinin-3 receptor antagonist,2
CHEBI:140982,neuropeptide FF receptor antagonist,2
CHEBI:142184,5-hydroxytryptamine 2B receptor agonist,2
CHEBI:142185,5-hydroxytryptamine 2C receptor agonist,2
CHEBI:142738,tau aggregation inhibitor,2
CHEBI:142781,EC 2.5.1.117 (homogentisate solanesyltransferase) inhibitor,2
CHEBI:143909,EC 2.7.1.40 (pyruvate kinase) inhibitor,2
CHEBI:144895,C5a receptor antagonist,2
CHEBI:144997,sphingosine-1-phosphate receptor 3 antagonist,2
CHEBI:145253,hyaluronan synthesis inhibitor,2
CHEBI:145515,GABAA receptor antagonist,2
CHEBI:145814,EC 1.2.1.11 (aspartate-semialdehyde dehydrogenase) inhibitor,2
CHEBI:147289,EC 3.4.17.23 (angiotensin-converting enzyme 2) inhibitor,2
CHEBI:149497,spin trapping reagent,2
CHEBI:149598,EC 2.3.3.8 (ATP citrate synthase) inhibitor,2
CHEBI:156297,EC 3.4.21.75 (furin) inhibitor,2
CHEBI:167633,CPSF3 inhibitor,2
CHEBI:173100,voltage-dependent anion channel inhibitor,2
CHEBI:17654,electron acceptor,2
CHEBI:176961,EC 2.7.11.2 - [pyruvate dehydrogenase (acetyl-transferring)] kinase inhibitor,2
CHEBI:184301,EC 3.2.1.52 (beta-N-acetylhexosaminidase) inhibitor,2
CHEBI:188147,urea herbicide,2
CHEBI:190286,ceramide mimetic,2
CHEBI:191196,EC 3.2.1.24 (alpha-mannosidase) inhibitor,2
CHEBI:192269,CB1 receptor agonist,2
CHEBI:194181,mitochondrial calcium uniporter inhibitor,2
CHEBI:194467,NOD1 agonist,2
CHEBI:197347,Rac1 inhibitor,2
CHEBI:228263,EC 2.1.1.354 ([histone H3]-lysine(4) N-trimethyltransferase) inhibitor,2
CHEBI:228347,trace amine-associated receptor 1 agonist,2
CHEBI:229651,"EC 2.7.1.153 (phosphatidylinositol-4,5-bisphosphate 3-kinase) inhibitor",2
CHEBI:229668,complement component 5 inhibitor,2
CHEBI:231729,BET bromodomain inhibitor,2
CHEBI:231911,renoprotective agent,2
CHEBI:232436,calcium chelator,2
CHEBI:233404,EC 1.14.11.68 ([histone H3]-trimethyl-L-lysine(27) demethylase) inhibitor,2
CHEBI:26087,photosynthetic electron-transport chain inhibitor,2
CHEBI:26088,photosystem-I inhibitor,2
CHEBI:35204,tracer,2
CHEBI:35206,isotopic tracer,2
CHEBI:35207,radioactive tracer,2
CHEBI:35224,effector,2
CHEBI:35473,tranquilizing drug,2
CHEBI:36043,antimicrobial drug,2
CHEBI:36051,antisyphilitic drug,2
CHEBI:37886,adrenergic agonist,2
CHEBI:38155,phytosiderophore,2
CHEBI:39000,sodium channel modulator,2
CHEBI:39141,Bronsted acid,2
CHEBI:39144,Lewis base,2
CHEBI:39412,bridged diphenyl acaricide,2
CHEBI:48406,EC 2.1.1.6 (catechol O-methyltransferase) inhibitor,2
CHEBI:48525,calcimimetic,2
CHEBI:48539,alpha-adrenergic drug,2
CHEBI:49324,female contraceptive drug,2
CHEBI:50188,provitamin,2
CHEBI:50269,EC 1.1.1.1 (alcohol dehydrogenase) inhibitor,2
CHEBI:50533,protein denaturant,2
CHEBI:50643,EC 2.5.1.1 (dimethylallyltranstransferase) inhibitor,2
CHEBI:50696,EC 2.4.1.129 (peptidoglycan glycosyltransferase) inhibitor,2
CHEBI:51237,Grignard reagent,2
CHEBI:52303,sterol methyltransferase inhibitor,2
CHEBI:52943,carboxylic acid protecting group,2
CHEBI:53337,tissue adhesive,2
CHEBI:59229,GnRH antagonist,2
CHEBI:59886,HIV fusion inhibitor,2
CHEBI:60258,EC 3.4.* (hydrolases acting on peptide bond) inhibitor,2
CHEBI:60688,EC 4.2.1.20 (tryptophan synthase) inhibitor,2
CHEBI:60788,affinity label,2
CHEBI:60832,tubulin modulator,2
CHEBI:61015,nephrotoxin,2
CHEBI:61026,bile therapy drug,2
CHEBI:62873,odorant receptor agonist,2
CHEBI:62914,axin stabilizer,2
CHEBI:63157,EC 4.2.1.22 (cystathionine beta-synthase) inhibitor,2
CHEBI:63158,EC 2.3.1.21 (carnitine O-palmitoyltransferase) inhibitor,2
CHEBI:63173,T-cell proliferation inhibitor,2
CHEBI:63923,sclerotherapy agent,2
CHEBI:64088,incretin mimetic,2
CHEBI:64105,protein kinase G agonist,2
CHEBI:64338,K-ATP channel agonist,2
CHEBI:64406,EC 3.4.22.38 (cathepsin K) inhibitor,2
CHEBI:64570,EC 2.1.2.1 (glycine hydroxymethyltransferase) inhibitor,2
CHEBI:64589,glycine receptor agonist,2
CHEBI:64952,anti-HSV agent,2
CHEBI:64957,EC 3.4.21.39 (chymase) inhibitor,2
CHEBI:65053,EC 4.1.1.19 (arginine decarboxylase) inhibitor,2
CHEBI:66894,erythropeotin receptor agonist,2
CHEBI:67189,EC 3.4.24.3 (microbial collagenase) inhibitor,2
CHEBI:67195,gap junctional intercellular communication inhibitor,2
CHEBI:67198,retinoic acid receptor agonist,2
CHEBI:67230,EC 3.2.1.45 (glucosylceramidase) inhibitor,2
CHEBI:68542,EC 1.3.98.1 [dihydroorotate oxidase (fumarate)] inhibitor,2
CHEBI:70817,EC 1.2.1.12 [glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)] inhibitor,2
CHEBI:72298,MTP inhibitor,2
CHEBI:72483,vesicular glutamate transport inhibitor,2
CHEBI:72854,"EC 1.13.11.52 (indoleamine 2,3-dioxygenase) inhibitor",2
CHEBI:73136,EC 1.1.1.184 [carbonyl reductase (NADPH)] inhibitor,2
CHEBI:73181,EC 1.11.1.11 (L-ascorbate peroxidase) inhibitor,2
CHEBI:73191,abscisic acid receptor agonist,2
CHEBI:73310,adenosine A2A receptor agonist,2
CHEBI:73361,methionine aminopeptidase 2 inhibitor,2
CHEBI:73668,peptide coupling reagent,2
CHEBI:73730,PPARbeta/delta agonist,2
CHEBI:73913,antifolate,2
CHEBI:73966,nitric oxide synthase activator,2
CHEBI:74234,"EC 1.1.1.153 [sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)] inhibitor",2
CHEBI:74352,quinol oxidation site inhibitor,2
CHEBI:74914,microarray analysis reagent,2
CHEBI:75414,platelet-activating factor receptor agonist,2
CHEBI:75599,EC 6.3.2.2 (glutamate--cysteine ligase) inhibitor,2
CHEBI:75968,EC 6.3.2.19 (ubiquitin--protein ligase) inhibitor,2
CHEBI:76811,EC 3.1.4.12 (sphingomyelin phosphodiesterase) inhibitor,2
CHEBI:76822,EC 3.2.1.31 (beta-glucuronidase) inhibitor,2
CHEBI:76871,EC 2.1.1.* (methyltransferases) inhibitor,2
CHEBI:76902,"EC 1.14.11.* (oxidoreductase acting on paired donors, 2-oxoglutarate as one donor, incorporating 1 atom each of oxygen into both donors) inhibitor",2
CHEBI:76926,EC 3.4.13.19 (membrane dipeptidase) inhibitor,2
CHEBI:76998,aryl hydrocarbon receptor antagonist,2
CHEBI:77020,EC 1.10.99.2 [ribosyldihydronicotinamide dehydrogenase (quinone)] inhibitor,2
CHEBI:77023,EC 2.3.3.1 [citrate (Si)-synthase] inhibitor,2
CHEBI:77024,EC 3.1.3.41 (4-nitrophenylphosphatase) inhibitor,2
CHEBI:77108,EC 1.1.1.141 [15-hydroxyprostaglandin dehydrogenase (NAD(+))] inhibitor,2
CHEBI:77115,EC 2.1.1.122 [(S)-tetrahydroprotoberberine N-methyltransferase] inhibitor,2
CHEBI:77118,EC 3.5.5.1 (nitrilase) inhibitor,2
CHEBI:77161,Toll-like receptor 2 agonist,2
CHEBI:77495,bradykinin receptor agonist,2
CHEBI:77731,p53 activator,2
CHEBI:77745,EC 3.4.24.18 (meprin A) inhibitor,2
CHEBI:77747,EC 3.6.3.1 (phospholipid-translocating ATPase) inhibitor,2
CHEBI:77781,EC 1.14.13.181 (13-deoxydaunorubicin hydroxylase) inhibitor,2
CHEBI:78299,environmental food contaminant,2
CHEBI:78377,EC 1.3.1.8 [acyl-CoA dehydrogenase (NADP(+))] inhibitor,2
CHEBI:78547,protein kinase A agonist,2
CHEBI:78592,vesicant,2
CHEBI:78606,Hsp70 inducer,2
CHEBI:78681,tropomyosin-related kinase B receptor antagonist,2
CHEBI:78928,EC 3.6.1.3 (adenosinetriphosphatase) inhibitor,2
CHEBI:79386,glycerophosphoinositol synthesis inhibitor,2
CHEBI:79392,EC 6.1.1.2 (tryptophan--tRNA ligase) inhibitor,2
CHEBI:82632,phytochrome chromophore,2
CHEBI:82821,EC 3.4.22.53 (calpain-2) inhibitor,2
CHEBI:82891,glucocorticoid receptor antagonist,2
CHEBI:83034,EC 4.1.2.27 (sphinganine-1-phosphate aldolase) inhibitor,2
CHEBI:83039,crustacean metabolite,2
CHEBI:83612,hepatic steatosis inducing agent,2
CHEBI:83757,"EC 2.4.1.231 [alpha,alpha-trehalose phosphorylase (configuration-retaining)] inhibitor",2
CHEBI:83760,"EC 2.4.1.64 (alpha,alpha-trehalose phosphorylase) inhibitor",2
CHEBI:83799,nonstructural protein 5A inhibitor,2
CHEBI:85011,EC 2.6.1.16 (glutamine--fructose-6-phosphate transaminase (isomerizing)) inhibitor,2
CHEBI:85053,EC 2.7.11.31 {[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase} activator,2
CHEBI:85424,glycine transporter 2 inhibitor,2
CHEBI:86966,EC 3.4.21.92 (endopeptidase Clp) inhibitor,2
CHEBI:87588,Smad3 inhibitor,2
CHEBI:88336,retinoic acid receptor gamma agonist,2
CHEBI:88355,alpha-secretase activator,2
CHEBI:90318,EC 6.4.1.1 (pyruvate carboxylase) inhibitor,2
CHEBI:90365,EC 4.6.1.1 (adenylate cyclase) inhibitor,2
CHEBI:90375,Sir1 inhibitor,2
CHEBI:90845,prostacyclin receptor agonist,2
CHEBI:90878,EC 2.4.2.4 (thymidine phosphorylase) inhibitor,2
CHEBI:91079,purinergic receptor P2 antagonist,2
CHEBI:91081,purinergic receptor P2X antagonist,2
CHEBI:91085,collagen cross-linking inhibitor,2
CHEBI:91189,VEGF activator,2
CHEBI:102368,EC 2.6.1.40 [(R)-3-amino-2-methylpropionate--pyruvate transaminase] inhibitor,1
CHEBI:110725,EC 2.1.1.8 (histamine N-methyltransferase) inhibitor,1
CHEBI:131359,adenosine A2B receptor agonist,1
CHEBI:131495,formyl peptide receptor agonist,1
CHEBI:131561,hyaluronic acid synthesis inhibitor,1
CHEBI:131734,EC 2.7.11.20 (elongation factor 2 kinase) inhibitor,1
CHEBI:131789,RUNX1 inhibitor,1
CHEBI:131790,melatonin receptor antagonist,1
CHEBI:131791,HIV-1 Tat inhibitor,1
CHEBI:131844,EC 1.14.11.1 (gamma-butyrobetaine dioxygenase) inhibitor,1
CHEBI:131961,"EC 1.13.11.11 (tryptophan 2,3-dioxygenase) inhibitor",1
CHEBI:132518,EC 3.2.1.23 (beta-galactosidase) inhibitor,1
CHEBI:132608,TRPM4 channel inhibitor,1
CHEBI:132710,xenoantigen,1
CHEBI:132771,EC 3.6.5.* (hydrolases acting on GTP; involved in cellular and subcellular movement) inhibitor,1
CHEBI:133024,lymphocyte function-associated antigen-1 antagonist,1
CHEBI:133190,fatty acid oxidation inhibitor,1
CHEBI:133811,EC 2.4.1.17 (glucuronosyltransferase) inhibitor,1
CHEBI:133891,salt-inducible kinase 2 inhibitor,1
CHEBI:133895,EC 2.5.1.46 (deoxyhypusine synthase) inhibitor,1
CHEBI:134083,hypoxia-inducible factor pathway activator,1
CHEBI:134108,lipopolysaccharide biosynthesis inhibitor,1
CHEBI:134109,EC 3.5.1.108 (UDP-3-O-acyl-N-acetylglucosamine deacetylase) inhibitor,1
CHEBI:134173,antidote to barbiturate poisoning,1
CHEBI:134545,EC 1.8.1.4 (dihydrolipoyl dehydrogenase) inhibitor,1
CHEBI:136537,EC 2.4.2.8 (hypoxanthine phosphoribosyltransferase) inhibitor,1
CHEBI:136580,LRH-1 antagonist,1
CHEBI:136648,prosafener,1
CHEBI:136651,S100 calcium-binding protein B inhibitor,1
CHEBI:136859,pro-agent,1
